year,Apple Type,Quality,Units,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
﻿2004,Bramleys Seedling,1st,£/kg,0.68,0.65,0.66,0.68,0.76,0.82,1.10,0.65,0.51,0.48,0.52,0.52
﻿2004,Cox(andclones),1st,£/kg,0.62,0.63,0.60,0.58,,,,,0.68,0.51,0.53,0.58
﻿2004,Discovery,1st,£/kg,,,,,,,0.75,0.51,0.37,,,
﻿2004,EgremontRusset,1st,£/kg,0.57,0.58,0.50,,,,,0.83,0.64,0.59,0.61,0.64
﻿2004,Spartan,1st,£/kg,0.33,,,,,,,,0.49,0.46,0.44,0.51
﻿2004,WorcesterPearmain,1st,£/kg,,,,,,,,,0.49,0.46,,
﻿2004,Fiesta/RedPippin,1st,£/kg,,0.46,,,,,,,,0.47,,
﻿2004,Gala(andclones),1st,£/kg,0.52,0.52,0.50,0.48,,,,,0.50,0.45,0.45,0.48
﻿2004,Jonagold(andclones),1st,£/kg,0.50,0.39,0.49,0.41,0.39,0.36,0.49,0.37,0.33,0.40,0.35,0.44
﻿2004,Katy,1st,£/kg,,,,,,,,0.58,0.42,,,
2005,Bramleys Seedling,1st,£/kg,0.51,0.50,0.53,0.58,0.59,0.54,0.55,0.58,0.49,0.48,0.50,0.53
2005,Cox(andclones),1st,£/kg,0.56,0.59,0.53,0.48,,,,0.75,0.62,0.48,0.51,0.57
2005,Discovery,1st,£/kg,,,,,,,0.83,0.48,0.38,,,
2005,EgremontRusset,1st,£/kg,0.58,0.52,0.48,,,,,0.66,0.63,0.52,0.67,0.68
2005,Spartan,1st,£/kg,0.44,,,,,,,,0.28,0.44,0.43,0.50
2005,WorcesterPearmain,1st,£/kg,,,,,,,,0.47,0.41,0.46,,
2005,Fiesta/RedPippin,1st,£/kg,,,,,,,,,0.62,0.44,,
2005,Gala(andclones),1st,£/kg,0.41,0.43,0.44,0.40,,,,,0.40,0.45,0.44,0.45
2005,Jonagold(andclones),1st,£/kg,0.44,0.48,0.45,0.48,0.46,0.44,0.44,,,0.45,0.41,0.39
2006,Bramleys Seedling,1st,£/kg,0.53,0.52,0.55,0.64,0.68,0.65,0.65,0.60,0.52,0.50,0.53,0.54
2006,Cox(andclones),1st,£/kg,0.56,0.50,0.56,0.70,,,,1.04,0.67,0.52,0.55,0.58
2006,Discovery,1st,£/kg,,,,,,,0.73,0.54,0.44,,,
2006,EgremontRusset,1st,£/kg,0.60,0.56,0.60,0.55,0.49,,,,0.66,0.59,0.61,0.69
2006,Spartan,1st,£/kg,,,,,,,,,0.56,0.51,0.47,
2006,WorcesterPearmain,1st,£/kg,,,,,,,,0.58,0.53,,,
2006,Fiesta/RedPippin,1st,£/kg,,,,,,,,,,0.42,0.48,
2006,Gala(andclones),1st,£/kg,0.49,0.44,0.45,0.46,,,,,0.66,0.51,0.53,0.51
2006,Jonagold(andclones),1st,£/kg,0.36,0.43,0.48,0.47,0.53,0.60,,,0.61,0.45,0.44,0.47
2007,Bramleys Seedling,1st,£/kg,0.53,0.55,0.53,0.65,0.65,0.80,0.90,0.69,0.57,0.58,0.60,0.62
2007,Cox(andclones),1st,£/kg,0.60,0.70,0.73,0.79,,,,0.94,0.66,0.62,0.64,0.64
2007,Discovery,1st,£/kg,,,,,,,0.76,0.52,,,,
2007,EgremontRusset,1st,£/kg,0.61,,,,,,,0.81,0.74,0.75,0.70,0.67
2007,Spartan,1st,£/kg,,,,,,,,,0.49,0.49,0.54,0.48
2007,WorcesterPearmain,1st,£/kg,,,,,,,,0.61,0.56,0.48,,
2007,Fiesta/RedPippin,1st,£/kg,,,,,,,,,0.66,0.44,0.71,
2007,Gala(andclones),1st,£/kg,0.55,0.53,0.67,,,,,,0.61,0.55,0.54,0.50
2007,Jonagold(andclones),1st,£/kg,,,,,,,,,,0.52,0.50,0.54
2008,Bramleys Seedling,1st,£/kg,0.72,0.73,0.74,0.88,1.01,1.03,1.03,0.81,0.66,0.61,0.65,0.69
