Column 1,Column 2,Quality,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16
﻿2004,,Quality,Units,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Cooking Apples,Bramley’s Seedling,1st,£/kg,0.68,0.65,0.66,0.68,0.76,0.82,1.10,0.65,0.51,0.48,0.52,0.52
,Bramley’s Seedling,2nd,£/kg,0.44,0.45,0.39,0.42,0.54,0.58,0.66,0.49,0.37,0.33,0.36,0.37
,Bramley’s Seedling,Ave,£/kg,0.59,0.56,0.51,0.55,0.66,0.70,1.03,0.64,0.49,0.44,0.47,0.47
Dessert Apples,Cox’s Orange-group,1st,£/kg,0.62,0.63,0.60,0.58,,,,,0.68,0.51,0.53,0.58
,Cox’s Orange-group,2nd,£/kg,0.40,0.40,0.40,0.42,,,,,0.39,0.33,0.30,0.33
,Cox’s Orange-group,Ave,£/kg,0.55,0.54,0.50,0.51,,,,,0.64,0.45,0.46,0.50
,Discovery,1st,£/kg,,,,,,,0.75,0.51,0.37,,,
,Discovery,2nd,£/kg,,,,,,,0.66,0.33,0.25,,,
,Discovery,Ave,£/kg,,,,,,,0.74,0.48,0.32,,,
,Egremont Russet,1st,£/kg,0.57,0.58,0.50,,,,,0.83,0.64,0.59,0.61,0.64
,Egremont Russet,2nd,£/kg,0.44,0.48,,,,,,0.83,0.46,0.48,0.46,0.45
,Egremont Russet,Ave,£/kg,0.54,0.55,,,,,,0.83,0.63,0.58,0.58,0.59
,Spartan,1st,£/kg,0.33,,,,,,,,0.49,0.46,0.44,0.51
,Spartan,2nd,£/kg,,,,,,,,,,0.34,0.30,0.28
,Spartan,Ave,£/kg,,,,,,,,,,0.45,0.42,0.31
,Worcester Pearmain,1st,£/kg,,,,,,,,,0.49,0.46,,
,Worcester Pearmain,2nd,£/kg,,,,,,,,0.55,0.34,0.37,,
,Worcester Pearmain,Ave,£/kg,,,,,,,,,0.48,0.40,,
,Red Pippin,1st,£/kg,,0.46,,,,,,,,0.47,,
,Red Pippin,2nd,£/kg,,,,0.22,,,,,,,,
,Red Pippin,Ave,£/kg,,,,,,,,,,,,
,Gala,1st,£/kg,0.52,0.52,0.50,0.48,,,,,0.50,0.45,0.45,0.48
,Gala,2nd,£/kg,0.42,0.40,0.37,0.44,,,,,,0.34,0.30,0.29
,Gala,Ave,£/kg,0.51,0.46,0.44,0.47,,,,,,0.44,0.43,0.44
,Other Early Season,-,£/kg,,,,,,,0.50,0.30,0.55,0.51,0.44,
,Other Mid Season,-,£/kg,,0.57,,,,,,,0.51,0.44,0.55,
,Other Late Season,-,£/kg,0.46,0.42,0.49,0.44,,,,,,0.44,0.51,0.49
,Jonogold – group,1st,£/kg,0.50,0.39,0.49,0.41,0.39,0.36,0.49,0.37,0.33,0.40,0.35,0.44
,Jonogold – group,2nd,£/kg,,0.50,,,,,0.42,,,,,0.39
,Jonogold – group,Ave,£/kg,,0.41,,,,,0.46,,,,,0.43
,Katy,1st,£/kg,,,,,,,,0.58,0.42,,,
,Katy,2nd,£/kg,,,,,,,,0.44,0.41,,,
,Katy,Ave,£/kg,,,,,,,,0.51,0.42,,,
2005,,Quality,Units,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Cooking Apples,Bramley’s Seedling,1st,£/kg,0.51,0.50,0.53,0.58,0.59,0.54,0.55,0.58,0.49,0.48,0.50,0.53
,Bramley’s Seedling,2nd,£/kg,0.36,0.33,0.32,0.36,0.39,0.36,0.37,0.41,0.31,0.31,0.32,0.34
,Bramley’s Seedling,Ave,£/kg,0.46,0.44,0.42,0.46,0.47,0.43,0.46,0.53,0.45,0.44,0.45,0.49
Dessert Apples,Cox’s Orange-group,1st,£/kg,0.56,0.59,0.53,0.48,,,,0.75,0.62,0.48,0.51,0.57
,Cox’s Orange-group,2nd,£/kg,0.32,0.33,0.30,0.27,,,,,0.44,0.34,0.33,0.38
,Cox’s Orange-group,Ave,£/kg,0.49,0.53,0.40,0.30,,,,,0.57,0.45,0.47,0.52
,Discovery,1st,£/kg,,,,,,,0.83,0.48,0.38,,,
,Discovery,2nd,£/kg,,,,,,,,0.32,0.25,,,
,Discovery,Ave,£/kg,,,,,,,,0.45,0.30,,,
,Egremont Russet,1st,£/kg,0.58,0.52,0.48,,,,,0.66,0.63,0.52,0.67,0.68
,Egremont Russet,2nd,£/kg,0.35,0.32,0.29,,,,,,0.54,0.45,0.46,0.45
,Egremont Russet,Ave,£/kg,0.54,0.47,0.42,,,,,,0.62,0.50,0.65,0.65
,Spartan,1st,£/kg,0.44,,,,,,,,0.28,0.44,0.43,0.50
,Spartan,2nd,£/kg,,,,,,,,,,0.34,0.32,
,Spartan,Ave,£/kg,,,,,,,,,,0.43,0.42,
,Worcester Pearmain,1st,£/kg,,,,,,,,0.47,0.41,0.46,,
,Worcester Pearmain,2nd,£/kg,,,,,,,,0.50,0.39,0.30,,
,Worcester Pearmain,Ave,£/kg,,,,,,,,0.47,0.41,0.43,,
,Red Pippin,1st,£/kg,,,,,,,,,0.62,0.44,,
,Red Pippin,2nd,£/kg,,,,,,,,,,,,
,Red Pippin,Ave,£/kg,,,,,,,,,,,,
,Gala,1st,£/kg,0.41,0.43,0.44,0.40,,,,,0.40,0.45,0.44,0.45
,Gala,2nd,£/kg,0.27,0.26,0.28,0.26,0.26,,,,0.51,0.40,0.32,0.26
,Gala,Ave,£/kg,0.39,0.40,0.37,0.29,,,,,0.40,0.44,0.42,0.39
,Other Early Season,-,£/kg,,,,,,,,0.53,0.50,0.47,,
,Other Mid Season,-,£/kg,,0.39,,,,,,,,0.44,,
,Other Late Season,-,£/kg,0.44,0.48,0.48,0.47,0.43,,,,,0.37,0.43,0.51
,Jonogold – group,1st,£/kg,0.44,0.48,0.45,0.48,0.46,0.44,0.44,,,0.45,0.41,0.39
,Jonogold – group,2nd,£/kg,,0.29,,0.36,0.33,0.35,,,,0.32,0.33,
,Jonogold – group,Ave,£/kg,,0.42,,0.47,0.45,0.38,,,,0.43,0.40,
2006,,Quality,Units,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Cooking Apples,Bramley’s Seedling,1st,£/kg,0.53,0.52,0.55,0.64,0.68,0.65,0.65,0.60,0.52,0.50,0.53,0.54
,Bramley’s Seedling,2nd,£/kg,0.36,0.38,0.41,0.44,0.42,0.44,0.43,0.38,0.39,0.30,0.34,0.38
,Bramley’s Seedling,Ave,£/kg,0.49,0.48,0.50,0.55,0.55,0.57,0.55,0.53,0.49,0.45,0.48,0.51
Dessert Apples,Cox’s Orange-group,1st,£/kg,0.56,0.50,0.56,0.70,,,,1.04,0.67,0.52,0.55,0.58
,Cox’s Orange-group,2nd,£/kg,0.36,0.36,0.38,0.46,,,,,0.50,0.35,0.37,0.37
,Cox’s Orange-group,Ave,£/kg,0.51,0.46,0.50,0.61,,,,,0.64,0.46,0.49,0.51
,Discovery,1st,£/kg,,,,,,,0.73,0.54,0.44,,,
,Discovery,2nd,£/kg,,,,,,,,0.39,0.33,,,
,Discovery,Ave,£/kg,,,,,,,,0.51,0.39,,,
,Egremont Russet,1st,£/kg,0.60,0.56,0.60,0.55,0.49,,,,0.66,0.59,0.61,0.69
,Egremont Russet,2nd,£/kg,0.39,0.39,0.43,,,,,,0.56,0.48,0.41,0.44
,Egremont Russet,Ave,£/kg,0.52,0.51,0.56,,,,,,0.64,0.57,0.58,0.64
